accommodation_id,name,accommodation_type,gender_preference,latitude,longitude,monthly_rent,wifi,ac,food_mess,laundry,monthly_rent_numeric,dist_mnit_jaipur_jln_marg_km,dist_jagatpura_education_belt_km,dist_vaishali_nagar_tech_corridor_km,distance_to_nearest_hub_km,nearest_hub,total_amenities,rent_normalized,vfm_index,monthly_rent_numeric_scaled,distance_to_nearest_hub_km_scaled,total_amenities_scaled,vfm_index_scaled
JPR0001,Prime Nest,PG,Co-ed,26.826596,75.853734,9800 per month,1,0,1,0,9800.0,4.4,1.28,15.01,1.28,Jagatpura Education Belt,2,0.38125,4.64,0.0655561435750084,-0.5840581865111457,-0.03272099955018445,-0.20175036342560043
JPR0002,Copper Leaf Manor,Hostel,Girls,26.823743,75.856628,"₹10,900/month",1,1,0,1,10900.0,4.79,1.14,15.44,1.14,Jagatpura Education Belt,3,0.45,6.0,0.3662723985062405,-0.6326412115438603,0.785303989204426,0.10710451203176774
JPR0003,Urban Villa,PG,Boys,26.842148,75.813101,INR 6000/month,1,0,0,0,6000.0,0.01,4.64,10.87,0.01,MNIT Jaipur (JLN Marg),1,0.14375,5.16,-0.9732818280056116,-1.0247756278793414,-0.8507459883047949,-0.08365879339778311
JPR0004,Green Valley Retreat,PG,Boys,26.831078,75.810016,INR 6600/month,1,1,1,1,6600.0,1.27,4.26,11.59,1.27,MNIT Jaipur (JLN Marg),4,0.18125,17.3,-0.8092547798613032,-0.5875284025849111,1.6033289779590365,2.6733251684054884
JPR0005,Golden Nest Nest,PG,Girls,26.809852,75.865388,"₹5,100/month",0,0,0,0,5100.0,6.32,1.72,17.1,1.72,Jagatpura Education Belt,0,0.0875,0.0,-1.2193224002220742,-0.4313686792654717,-1.6687709770594055,-1.2554905267507386
JPR0006,Golden Nest Heights,Hostel,Co-ed,26.841447,75.802277,Rs. 9800,1,0,1,1,9800.0,1.07,5.48,10.21,1.07,MNIT Jaipur (JLN Marg),3,0.38125,6.96,0.0655561435750084,-0.6569327240602174,0.785303989204426,0.3251197182369687
JPR0007,Maple Palace,Hostel,Co-ed,26.844354,75.828,"₹8,200/month",1,1,1,0,8200.0,1.51,3.82,11.79,1.51,MNIT Jaipur (JLN Marg),3,0.28125,9.06,-0.3718493181431474,-0.5042432168145434,0.785303989204426,0.8020279818108461
JPR0008,Blue Orchid Manor,PG,Girls,26.849537,75.710989,10100 per month,1,0,1,1,10100.0,10.15,14.24,7.43,7.43,Vaishali Nagar Tech Corridor,3,0.4,6.67,0.14756966764716262,1.5501246988545259,0.785303989204426,0.2592609580291476
JPR0009,Sunshine Nest,PG,Boys,26.83783,75.81305,"₹9,700/month",0,1,1,1,9700.0,0.49,4.36,11.21,0.49,MNIT Jaipur (JLN Marg),3,0.375,7.06,0.038218302217623665,-0.858205256338606,0.785303989204426,0.34782963555001045
JPR0010,Maple Villa,Independent Flat,Girls,26.826318,75.842415,"₹7,900/month",0,1,0,0,7900.0,3.41,1.36,14.18,1.36,Jagatpura Education Belt,1,0.2625,3.2,-0.4538628422153016,-0.5562964579210232,-0.8507459883047949,-0.5287731727334019
