accommodation_id,name,accommodation_type,gender_preference,latitude,longitude,monthly_rent,wifi,ac,food_mess,laundry
JPR0001,Prime Nest,PG,Co-ed,26.826596,75.853734,9800 per month,1.0,0.0,1.0,0.0
JPR0002,Copper Leaf Manor,Hostel,Girls,26.823743,75.856628,"₹10,900/month",1.0,1.0,0.0,1.0
JPR0003,Urban Villa,PG,Boys,26.842148,75.813101,INR 6000/month,1.0,0.0,0.0,0.0
JPR0004,Green Valley Retreat,PG,Boys,26.831078,75.810016,INR 6600/month,1.0,1.0,1.0,1.0
JPR0005,Golden Nest Nest,PG,Girls,26.809852,75.865388,"₹5,100/month",0.0,0.0,0.0,0.0
JPR0006,Golden Nest Heights,Hostel,Co-ed,26.841447,75.802277,Rs. 9800,1.0,0.0,1.0,1.0
JPR0007,Maple Palace,Hostel,Co-ed,26.844354,75.828,"₹8,200/month",1.0,1.0,1.0,0.0
JPR0008,Blue Orchid Manor,PG,Girls,26.849537,75.710989,10100 per month,1.0,0.0,1.0,1.0
JPR0009,Sunshine Nest,PG,Boys,26.83783,75.81305,"₹9,700/month",0.0,1.0,1.0,1.0
JPR0010,Maple Villa,Independent Flat,Girls,26.826318,75.842415,"₹7,900/month",0.0,1.0,0.0,0.0
JPR0011,Cozy Address,PG,Girls,26.903436,75.731287,Rs. 13200,1.0,1.0,1.0,1.0
JPR0012,Serene Address,Independent Flat,Co-ed,26.889098,75.682881,7800 per month,1.0,0.0,1.0,1.0
JPR0013,Green Valley Nest,PG,Boys,26.826519,75.874127,6600,0.0,0.0,0.0,0.0
JPR0014,Cozy House,Hostel,Girls,26.859267,75.915266,11700,1.0,0.0,0.0,1.0
JPR0015,Crimson Court,PG,Girls,26.922668,75.743711,INR 10400/month,1.0,0.0,1.0,1.0
JPR0016,Elite House,Independent Flat,Co-ed,26.716086,75.811051,"₹11,300/month",1.0,0.0,0.0,1.0
JPR0017,Copper Leaf Stay,Hostel,Co-ed,26.930896,75.746149,INR 9400/month,1.0,1.0,0.0,0.0
JPR0018,Maple Address,PG,Co-ed,26.849982,75.846885,Rs. 17400,1.0,,1.0,1.0
JPR0019,Cozy Enclave,PG,Girls,26.830104,75.904749,10200,1.0,0.0,1.0,1.0
JPR0020,Highland Address,Hostel,Boys,26.82044,75.850615,"₹6,400/month",0.0,0.0,0.0,0.0
JPR0021,Maple Court,Hostel,Co-ed,26.802591,75.843012,Rs. 6400,0.0,1.0,1.0,0.0
JPR0022,Sunrise Retreat,PG,Girls,26.816044,75.847707,Rs. 13800,1.0,1.0,0.0,1.0
JPR0023,Silver Oak Palace,PG,Boys,26.89886,75.734472,"₹4,900/month",1.0,0.0,1.0,1.0
